playerId,playerName,gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies,normalizedName,GameKey,GameDate,PitcherName,PitcherID,PA_OF_INNING,PITCH_OF_PA,INNING,TOP_BOT,BALLS,STRIKES,SWING_TAKE,IS_SINGLE,IS_DOUBLE,IS_TRIPLE,IS_HOMERUN,IS_HIT,IS_OUT,LAST_PITCH_OF_PA,IS_STRIKEOUT,_merge
641438,Shane Carle,53,0,77,61,22,15,0,2,43,27,7,50,1,.221,226,.302,.314,.616,0,5,1.000,9,957,2.86,63.0,4,1,1,2,14,1,20,1.22,259,189,53,0,0,615,.640,1,0,2,0,71,1.26,.800,15.19,8,1.59,6.14,3.86,7.14,3.14,0.29,28,9,0,1,4,Shane Carle,302760,4/10/2018,"Carle, Shane",641438,6,2,6,2,1,0,take,0,0,0,0,0,0,0,0,both
641438,Shane Carle,53,0,77,61,22,15,0,2,43,27,7,50,1,.221,226,.302,.314,.616,0,5,1.000,9,957,2.86,63.0,4,1,1,2,14,1,20,1.22,259,189,53,0,0,615,.640,1,0,2,0,71,1.26,.800,15.19,8,1.59,6.14,3.86,7.14,3.14,0.29,28,9,0,1,4,Shane Carle,302760,4/10/2018,"Carle, Shane",641438,3,1,6,2,0,0,take,0,0,0,0,0,0,0,0,both
641438,Shane Carle,53,0,77,61,22,15,0,2,43,27,7,50,1,.221,226,.302,.314,.616,0,5,1.000,9,957,2.86,63.0,4,1,1,2,14,1,20,1.22,259,189,53,0,0,615,.640,1,0,2,0,71,1.26,.800,15.19,8,1.59,6.14,3.86,7.14,3.14,0.29,28,9,0,1,4,Shane Carle,302760,4/10/2018,"Carle, Shane",641438,6,3,6,2,1,1,take,0,0,0,0,0,0,0,0,both
641438,Shane Carle,53,0,77,61,22,15,0,2,43,27,7,50,1,.221,226,.302,.314,.616,0,5,1.000,9,957,2.86,63.0,4,1,1,2,14,1,20,1.22,259,189,53,0,0,615,.640,1,0,2,0,71,1.26,.800,15.19,8,1.59,6.14,3.86,7.14,3.14,0.29,28,9,0,1,4,Shane Carle,302760,4/10/2018,"Carle, Shane",641438,6,4,6,2,2,1,swing,0,0,0,0,0,0,0,0,both
641438,Shane Carle,53,0,77,61,22,15,0,2,43,27,7,50,1,.221,226,.302,.314,.616,0,5,1.000,9,957,2.86,63.0,4,1,1,2,14,1,20,1.22,259,189,53,0,0,615,.640,1,0,2,0,71,1.26,.800,15.19,8,1.59,6.14,3.86,7.14,3.14,0.29,28,9,0,1,4,Shane Carle,302760,4/10/2018,"Carle, Shane",641438,3,2,6,2,0,1,swing,0,0,0,0,0,0,0,0,both
641438,Shane Carle,53,0,77,61,22,15,0,2,43,27,7,50,1,.221,226,.302,.314,.616,0,5,1.000,9,957,2.86,63.0,4,1,1,2,14,1,20,1.22,259,189,53,0,0,615,.640,1,0,2,0,71,1.26,.800,15.19,8,1.59,6.14,3.86,7.14,3.14,0.29,28,9,0,1,4,Shane Carle,302760,4/10/2018,"Carle, Shane",641438,6,5,6,2,2,2,swing,0,0,0,0,0,0,0,0,both
641438,Shane Carle,53,0,77,61,22,15,0,2,43,27,7,50,1,.221,226,.302,.314,.616,0,5,1.000,9,957,2.86,63.0,4,1,1,2,14,1,20,1.22,259,189,53,0,0,615,.640,1,0,2,0,71,1.26,.800,15.19,8,1.59,6.14,3.86,7.14,3.14,0.29,28,9,0,1,4,Shane Carle,302760,4/10/2018,"Carle, Shane",641438,6,6,6,2,2,2,swing,0,0,0,0,0,1,1,1,both
641438,Shane Carle,53,0,77,61,22,15,0,2,43,27,7,50,1,.221,226,.302,.314,.616,0,5,1.000,9,957,2.86,63.0,4,1,1,2,14,1,20,1.22,259,189,53,0,0,615,.640,1,0,2,0,71,1.26,.800,15.19,8,1.59,6.14,3.86,7.14,3.14,0.29,28,9,0,1,4,Shane Carle,302760,4/10/2018,"Carle, Shane",641438,3,3,6,2,0,2,swing,1,0,0,0,1,0,1,0,both
641438,Shane Carle,53,0,77,61,22,15,0,2,43,27,7,50,1,.221,226,.302,.314,.616,0,5,1.000,9,957,2.86,63.0,4,1,1,2,14,1,20,1.22,259,189,53,0,0,615,.640,1,0,2,0,71,1.26,.800,15.19,8,1.59,6.14,3.86,7.14,3.14,0.29,28,9,0,1,4,Shane Carle,302760,4/10/2018,"Carle, Shane",641438,4,1,6,2,0,0,take,0,0,0,0,0,0,0,0,both
641438,Shane Carle,53,0,77,61,22,15,0,2,43,27,7,50,1,.221,226,.302,.314,.616,0,5,1.000,9,957,2.86,63.0,4,1,1,2,14,1,20,1.22,259,189,53,0,0,615,.640,1,0,2,0,71,1.26,.800,15.19,8,1.59,6.14,3.86,7.14,3.14,0.29,28,9,0,1,4,Shane Carle,302760,4/10/2018,"Carle, Shane",641438,4,2,6,2,1,0,swing,0,0,0,0,0,1,1,0,both
